name,src,describe,time,place,price
重塑雕像的权利【喝彩之后】2021广州专场,https://detail.damai.cn/item.htm?id=662432806511&clicktitle=%E9%87%8D%E5%A1%91%E9%9B%95%E5%83%8F%E7%9A%84%E6%9D%83%E5%88%A9%E3%80%90%E5%96%9D%E5%BD%A9%E4%B9%8B%E5%90%8E%E3%80%912021%E5%B9%BF%E5%B7%9E%E4%B8%93%E5%9C%BA,演唱会,时间：2021.12.31 周五 19:50,场馆：广州市 | 广州体育馆,380-980 元
五条人“大时代歌厅”巡回演唱会·广州站,https://detail.damai.cn/item.htm?id=662062693636&clicktitle=%E4%BA%94%E6%9D%A1%E4%BA%BA%E2%80%9C%E5%A4%A7%E6%97%B6%E4%BB%A3%E6%AD%8C%E5%8E%85%E2%80%9D%E5%B7%A1%E5%9B%9E%E6%BC%94%E5%94%B1%E4%BC%9A%C2%B7%E5%B9%BF%E5%B7%9E%E7%AB%99,演唱会,时间：2021.12.25 周六 19:50,场馆：广州市 | 广州体育馆,380-980 元
X玖少年团 赵磊「第一次」巡演上海站,https://detail.damai.cn/item.htm?id=662702255445&clicktitle=X%E7%8E%96%E5%B0%91%E5%B9%B4%E5%9B%A2%20%E8%B5%B5%E7%A3%8A%E3%80%8C%E7%AC%AC%E4%B8%80%E6%AC%A1%E3%80%8D%E5%B7%A1%E6%BC%94%E4%B8%8A%E6%B5%B7%E7%AB%99,演唱会,时间：2021.12.24 周五 19:30,场馆：上海市 | 上海保利大剧院-大剧场,80-988 元
开心麻花首部主题体验式喜剧：偷心晚宴,https://detail.damai.cn/item.htm?id=661175696231&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E9%A6%96%E9%83%A8%E4%B8%BB%E9%A2%98%E4%BD%93%E9%AA%8C%E5%BC%8F%E5%96%9C%E5%89%A7%EF%BC%9A%E5%81%B7%E5%BF%83%E6%99%9A%E5%AE%B4,话剧歌剧,时间：2021.12.11-12.26,场馆：北京市 | 开心麻花磁剧场,280-330 元
王晰“图景”新年音乐会,https://detail.damai.cn/item.htm?id=662882866840&clicktitle=%E7%8E%8B%E6%99%B0%E2%80%9C%E5%9B%BE%E6%99%AF%E2%80%9D%E6%96%B0%E5%B9%B4%E9%9F%B3%E4%B9%90%E4%BC%9A,音乐会,时间：2022.01.01 周六 19:30,场馆：苏州市 | 苏州独墅湖影剧院,480-1280 元
开心麻花明星场《贼想得到你》,https://detail.damai.cn/item.htm?id=660213295182&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E6%98%8E%E6%98%9F%E5%9C%BA%E3%80%8A%E8%B4%BC%E6%83%B3%E5%BE%97%E5%88%B0%E4%BD%A0%E3%80%8B,话剧歌剧,时间：2021.12.11-12.26,场馆：北京市 | 北京展览馆剧场,80-1080 元
【真迹展】遇见古埃及 黄金木乃伊,https://detail.damai.cn/item.htm?id=662521086564&clicktitle=%E3%80%90%E7%9C%9F%E8%BF%B9%E5%B1%95%E3%80%91%E9%81%87%E8%A7%81%E5%8F%A4%E5%9F%83%E5%8F%8A%20%E9%BB%84%E9%87%91%E6%9C%A8%E4%B9%83%E4%BC%8A,展览休闲,时间：2021.12.28-2022.04.20,场馆：上海市 | 遇见博物馆(上海静安馆),108-239 元
音乐剧《阿加莎》中文版,https://detail.damai.cn/item.htm?id=660147957844&clicktitle=%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E9%98%BF%E5%8A%A0%E8%8E%8E%E3%80%8B%E4%B8%AD%E6%96%87%E7%89%88,话剧歌剧,时间：2021.12.22-2022.01.16,场馆：上海市 | 中国大戏院,180-680 元
2021万宁·神州半岛TIDE音乐节,https://detail.damai.cn/item.htm?id=661613653550&clicktitle=2021%E4%B8%87%E5%AE%81%C2%B7%E7%A5%9E%E5%B7%9E%E5%8D%8A%E5%B2%9BTIDE%E9%9F%B3%E4%B9%90%E8%8A%82,演唱会,时间：2021.12.24-12.25,场馆：万宁市 | 喜来登度假酒店落日沙滩,198-680 元
开心麻花王牌喜剧《乌龙山伯爵》,https://detail.damai.cn/item.htm?id=661649108989&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E7%8E%8B%E7%89%8C%E5%96%9C%E5%89%A7%E3%80%8A%E4%B9%8C%E9%BE%99%E5%B1%B1%E4%BC%AF%E7%88%B5%E3%80%8B,话剧歌剧,时间：2021.12.24-12.26,场馆：苏州市 | 苏州独墅湖影剧院,100-680 元
