name	link	author	present	state
深度学习神经网络：设计与案例研究	https:/book/13890861/	[美] 丹尼尔·格罗彼（Daniel Graupe）…	《深度学习神经网络设计及案例研究》主要对深度学习神经网络模型的设计与应用…	可购
重塑学习：元认知潜能的聚变与升维	https:/book/13890860/	焦典 著	《重塑学习：元认知潜能的聚变与升维》一书共九章：第一章讲述认知、元认知的…	可购
人工智能与用户体验：以人为本的设计	https:/book/13890859/	[美] 刘嘉闻（Gavin Lew） 等 著，周子衿 …	《人工智能与用户体验：以人为本的设计》结合人工智能崛起的大背景，讲述了如…	可购
人工智能算法大全：基于MATLAB	https:/book/13890858/	李一邨 著	本书的编程语言以MATLAB为主，分别从学习方式和理论知识两个方面来对机器学习…	可购
深度学习与目标检测：工具、原理与算法	https:/book/13890857/	涂铭，金智勇 著	这是一本从工具、原理、算法3个维度指导读者零基础快速掌握目标检测技术及其…	可购
统计策略搜索强化学习方法及应用	https:/book/13890856/	赵婷婷 著	智能体AlphaGo战胜人类围棋专家刷新了人类对人工智能的认识，也使得其核心技…	可购
计算机视觉：Python+TensorFlow+Keras深度学习实战（微课视频版）…	https:/book/13890855/	袁雪 著	人工智能正在成为全世界产业变革的方向，处于第四次科技革命的核心地位。计算…	可购
机器学习算法竞赛实战	https:/book/13890854/	王贺，刘鹏，钱乾 著	本书是算法竞赛领域一本系统介绍竞赛的图书，书中不仅包含竞赛的基本理论知识…	可购
户外未知环境中的自主移动机器人	https:/book/13890853/	朱晓蕊 著	《户外未知环境中的自主移动机器人》探讨了户外自主移动机器人系统的很多方面…	可购
智能机器人养成记：开发人类友好型机器人	https:/book/13890852/	[英] 马克·H.李（Mark H.Lee） 著，刘…	在本书中，作者先描述了人工智能的缺陷（一个关键的缺点是：它没有具象化），…	可购
深度学习基础与工程实践	https:/book/13890851/	郭泽文 著	本书以工程实践为主线，基于TensorFlow 2.0软件框架详细介绍了深度学习的工作…	可购
深度学习入门与实践	https:/book/13890850/	鲁鸣鸣 编	本书首先以图文并茂的形式深入浅出地介绍了机器学习和深度学习的基本概念，阐…	可购
人工智能发展报告（2020-2021）	https:/book/13890849/	赵岩 著	《人工智能发展报告（2020―2021）》是国家工业信息安全发展研究中心在对202…	可购
呆呆鸟儿童编程：在游戏中学习	https:/book/13890848/	王向辉，陈峰 著	《呆呆鸟儿童编程——在游戏中学习》介绍了基于C#语言的代码编程方法。针对6…	可购
AI源码解读：卷积神经网络深度学习案例（CNN Python版）	https:/book/13890847/	李永华 著	本书以人工智能发展为时代背景，通过20个机器学习模型和算法案例，为读者提供…	可购
深入浅出系统虚拟化：原理与实践	https:/book/13890846/	戚正伟，管海兵 著	本书是一本论述系统虚拟化原理与实践的专业图书。全书分为6章，第1章概述系统…	可购
认识AI：人工智能如何赋能商业（原书第2版）	https:/book/13890845/	[美] 道格·罗斯（Doug Rose） 著，刘…	本书分为四个部分。 第1部分简单概述人工智能。 第2部分对概述进行扩展，并加…	可购
最优传输理论与计算	https:/book/13890844/	雷娜，顾险峰 著	**传输理论是一门古老而又年轻、直观而又深刻、连续而又离散、基础而又应用的…	可购
LabVIEW虚拟仪器设计指南	https:/book/13890843/	魏德宝，吴艳，付宁，刘洋 著	《LabVIEW虚拟仪器设计指南（清华开发者书库）》介绍虚拟仪器技术 LabVIEW 编…	可购
移动机器人控制导论	https:/book/13890842/	[希腊] 斯皮罗斯·G.扎菲斯塔斯（Spyr…	《移动机器人控制导论》对轮式非完整约束全向移动机器人和机械臂的建模、控制…	可购
Keras深度学习：入门、实战与进阶	https:/book/13890841/	谢佳标 著	配套视频+PPT+全部数据及源代码 获取方式： 1、微信关注“华章计算机” 2、在…	可购
人工智能：探昔论今（英文版）	https:/book/13890840/	蔡自兴，刘丽珏，陈白帆，王勇 编	《人工智能：探昔论今（英文版）》涵盖了人工智能的广泛领域。首先，《人工智…	可购
写给新手的深度学习2：用 Python实现的循环神经网络RNN和VAE、GAN…	https:/book/13890839/	我妻幸长 著，陈欢 译	本书以《写给新手的深度学习》这本书的内容为基础，对深度学习的内容进一步深…	可购
人工智能为儿童：面向儿童群体的人工智能应用调研报告	https:/book/13890838/	人工智能为儿童项目组 编	本书包含六个章节，详细分析了面向儿童群体的人工智能发展现状、与儿童相关的…	可购
多媒体与人工智能安全研究极简综述	https:/book/13890837/	钱振兴，张卫明，李晓龙 著	多媒体安全与人工智能安全是近年来迅速发展的研究领域。本书采用“极简综述”…	可购
机器人与我们的生活	https:/book/13890836/	曹江涛，姬晓飞，李喆 编	人类自古就有对设计发明自动化工具的朴素追求和大胆实践。几年前曾经有过一个…	可购
人工智能入门：童芯派互动程序设计	https:/book/13890835/	王克伟，刘晓静，马丽丽 著	童芯派主控是一款针对人工智能编程教学设计的新一代可联网微型计算机，专为A…	可购
机器视觉技术及应用	https:/book/13890834/	刘凯，蒋庆斌，周斌 著	本书是国家职业教育专业教学资源库工业机器人技术专业建设项目规划教材。全书…	可购
未来机器人畅想	https:/book/13890833/	[美] 劳拉·梅杰（Laura Major），[美…	能够成功融入人类社会的机器人快要出现了吗？这样的机器人将如何改变我们与技…	可购
深度学习初学者指南	https:/book/13890832/	[智] 巴勃罗·里瓦斯（Pablo Rivas） …	本书分为三部分。第1部分将帮助你快速理解从数据中学习、深度学习基本架构、…	可购
联邦学习：原理与算法	https:/book/13890831/	王健宗，李泽远，何安珣，王伟 著	数据孤岛问题已经成为制约人工智能发展的主要阻碍。在此背景下， 联邦学习（…	可购
物联网：数据、安全与决策	https:/book/13890830/	[英] 约翰·戴维斯 等著，高志强 等译…	本书讨论了物联网的整个垂直技术栈，并着重讲解了数据聚合、处理、管理、分析…	可购
人工智能：硅基生命的创造	https:/book/13890829/	郭子政 著	人工智能无疑是近几年*火的名词之一。然而，究竟什么是人工智能？为什么说人…	可购
数据治理：人工智能创建未来城市	https:/book/13890828/	沈江，徐曼，孙慧，李晋 著	暂缺简介...	可购
